,country,name,full_name,isin,currency,symbol
148,malaysia,Benalec,Benalec Holdings Bhd,MYL5190OO003,MYR,BENL
149,malaysia,Berjaya Assets,Berjaya Assets Bhd,MYL3239OO000,MYR,BERJ
150,malaysia,Bertam Alliance,Bertam Alliance Bhd,MYL9814OO004,MYR,BERM
151,malaysia,Brahims,Brahims Holdings Bhd,MYL9474OO007,MYR,BHBD
152,malaysia,Boustead Heavy Ind,Boustead Heavy Industries,MYL8133OO000,MYR,BHIB
153,malaysia,Nextgreen Global,Nextgreen Global Bhd,MYL7241OO002,MYR,NEXT
154,malaysia,BIG Industries,BIG Industries Bhd,MYL7005OO001,MYR,BIGI
155,malaysia,Bioalpha,Bioalpha Holdings Bhd,MYQ0179OO000,MYR,BIOA
156,malaysia,Impiana Hotels,Impiana Hotels Bhd,MYL7243OO008,MYR,IMPI
157,malaysia,Bermaz Auto,Bermaz Auto Bhd,MYL5248OO009,MYR,BERA
158,malaysia,Berjaya Food,Berjaya Food Bhd,MYL5196OO000,MYR,BJFO
159,malaysia,Berjaya Media,Berjaya Media Bhd,MYL6025OO000,MYR,BJME
160,malaysia,Bintai Kinden Corp,Bintai Kinden Corporation Bhd,MYL6998OO008,MYR,BKCB
161,malaysia,Chin Hin Property,Chin Hin Group Property Bhd,MYL7187OO007,MYR,CHIN
162,malaysia,Berjaya Land,Berjaya Land Bhd,MYL4219OO001,MYR,BLAD
163,malaysia,BLD Plantation,BLD Plantation Bhd,MYL5069OO009,MYR,BLDN
164,malaysia,Boilermech,Boilermech Holdings Bhd,MYQ0168OO003,MYR,BOIL
165,malaysia,Bonia Corp,Bonia Corporation Bhd,MYL9288OO001,MYR,BONI
166,malaysia,Boustead Plantations,Boustead Plantations Bhd,MYL5254OO007,MYR,BOPL
167,malaysia,Bright Packaging,Bright Packaging Industry Bhd,MYL9938OO001,MYR,BPAC
168,malaysia,Box Pak,Box Pak (Malaysia) Bhd,MYL6297OO005,MYR,BPAK
169,malaysia,Bintulu Port,Bintulu Port Holdings Bhd,MYL5032OO007,MYR,BPOT
170,malaysia,BP Plastics,BP Plastics Holding Bhd,MYL5100OO002,MYR,BPPL
171,malaysia,Bina Puri,Bina Puri Holdings Bhd,MYL5932OO008,MYR,BPUR
172,malaysia,Brem Holding,Brem Holding Bhd,MYL8761OO008,MYR,BREM
173,malaysia,Borneo Oil,Borneo Oil Bhd,MYL7036OO006,MYR,BRNL
174,malaysia,BSL Corp,BSL Corp Bhd,MYL7221OO004,MYR,BSLC
175,malaysia,Batu Kawan,Batu Kawan Bhd,MYL1899OO003,MYR,BTKW
176,malaysia,BTM Resources,BTM Resources Bhd,MYL7188OO005,MYR,BTMR
177,malaysia,CAB Cakaran Corp,CAB Cakaran Corporation Bhd,MYL7174OO005,MYR,CABC
178,malaysia,Caely,Caely Holdings Bhd,MYL7154OO007,MYR,CAEY
179,malaysia,Caring Pharmacy,Caring Pharmacy Group Bhd,MYL5245OO005,MYR,CARI
180,malaysia,CB Industrial Product,CB Industrial Product Holding,MYL7076OO002,MYR,CBIP
181,malaysia,Cocoaland,Cocoaland Holdings Bhd,MYL7205OO007,MYR,CCLD
182,malaysia,Duopharma Biotech,Duopharma Biotech Bhd,MYL7148OO009,MYR,DUOP
183,malaysia,Cheetah,Cheetah Holdings Bhd,MYL7209OO009,MYR,CETH
184,malaysia,Computer Forms,Computer Forms (Malaysia) Bhd,MYL8044OO009,MYR,CFMS
185,malaysia,Chee Wah,Chee Wah Corporation Bhd,MYL9423OO004,MYR,CWGH
186,malaysia,Country Heights,Country Heights Holdings Bhd,MYL5738OO009,MYR,CHHB
187,malaysia,Choo Bee Metal Ind,Choo Bee Metal Industries Bhd,MYL5797OO005,MYR,CHOO
188,malaysia,Chuan Huat Res,Chuan Huat Resources Bhd,MYL7016OO008,MYR,CHRB
189,malaysia,China Stationery,China Stationery Ltd,BMG216791167,MYR,CHST
190,malaysia,Central Industrial,Central Industrial Corp,MYL8052OO002,MYR,CENT
191,malaysia,CI,CI Holdings Bhd,MYL2828OO001,MYR,CIHB
192,malaysia,Chemical Co Malaysia,Chemical Company of Malaysia,MYL2879OO004,MYR,CLMS
193,malaysia,CME,CME Group Bhd,MYL7018OO004,MYR,CMEG
194,malaysia,Comintel Corp,Comintel Corporation Bhd,MYL7195OO000,MYR,CMNL
195,malaysia,Cahya Mata Sarawak,Cahya Mata Sarawak Bhd,MYL2852OO001,MYR,CMSM
196,malaysia,CN Asia Corp,CN Asia Corporation Bhd,MYL7986OO002,MYR,CNAC
197,malaysia,CNI,CNI Holdings Bhd,MYL5104OO004,MYR,CNIH
198,malaysia,Can One,Can One Bhd,MYL5105OO001,MYR,CNON
199,malaysia,Censof,Censof Holdings Bhd,MYL5195OO002,MYR,CNSH
200,malaysia,Concrete Engineering,Concrete Engineering Products,MYL8435OO009,MYR,CONC
201,malaysia,China Ouhua Winery,China Ouhua Winery Holdings,SG9999006936,MYR,COWH
202,malaysia,Compugates,Compugates Holdings Bhd,MYL5037OO006,MYR,CPGT
203,malaysia,Complete Logistic Srvcs,Complete Logistic Services Bhd,MYL5136OO006,MYR,CPLG
204,malaysia,Cepatwawasan,Cepatwawasan Group Bhd,MYL8982OO000,MYR,CPWA
205,malaysia,Crescendo Corp,Crescendo Corporation Bhd,MYL6718OO000,MYR,CREC
206,malaysia,Crest Builder,Crest Builder Holdings Bhd,MYL8591OO009,MYR,CREH
207,malaysia,CAM Resources,CAM Resources Bhd,MYL7128OO001,MYR,CRSM
208,malaysia,Classic Scenic,Classic Scenic Bhd,MYL7202OO004,MYR,CSCB
209,malaysia,CSC Steel,CSC Steel Holdings Bhd,MYL5094OO007,MYR,CSTH
210,malaysia,Coastal Contracts,Coastal Contracts Bhd,MYL5071OO005,MYR,CTAL
211,malaysia,CJ Century Logistics,CJ Century Logistics Holdings Bhd,MYL7117OO004,MYR,CJCE
212,malaysia,Chin Teck Plantations,Chin Teck Plantations Bhd,MYL1929OO008,MYR,CTPB
213,malaysia,Cuscapi Berhad,Cuscapi Berhad,MYQ0051OO001,MYR,CUSC
214,malaysia,Country View,Country View Bhd,MYL5049OO001,MYR,CVIE
215,malaysia,Chin Well,Chin Well Holdings Bhd,MYL5007OO009,MYR,CWHB
216,malaysia,Cycle Carriage Bintang,Cycle Carriage Bintang Bhd,MYL2925OO005,MYR,CYCB
217,malaysia,CYL Corp,CYL Corporation Bhd,MYL7157OO000,MYR,CYLC
218,malaysia,Cypark Res Berhad,Cypark Resources Berhad,MYL5184OO006,MYR,CYPR
219,malaysia,Damansara Realty,Damansara Realty Bhd,MYL3484OO002,MYR,DAMA
220,malaysia,Dataprep,Dataprep Holdings Bhd,MYL8338OO005,MYR,DATA
221,malaysia,Daya Materials,Daya Materials Bhd,MYQ0091OO007,MYR,DAYA
222,malaysia,D.B.E. Gurney Res,D.B.E. Gurney Resources Bhd,MYL7179OO004,MYR,DBEG
223,malaysia,DeGem,DeGem Bhd,MYL7119OO000,MYR,DEGM
224,malaysia,DKSH Malaysia Berhad,DKSH Holdings Malaysia Berhad,MYL5908OO008,MYR,DELM
225,malaysia,Destini,Destini Bhd,MYL7212OO003,MYR,DEST
226,malaysia,ATA IMS,ATA IMS Bhd,MYL8176OO009,MYR,ATAI
